Environmental package	Package item	Structured comment name	Value	Value details	Occurrence	Value syntax	Definition	EU	BA	PL	VI	ORG	ME	MIENS_S	MIENS_C	Position
microbial mat/biofilm	carbon/nitrogen ratio	carb_nitro_ratio	[measurement value]		1	float unit	ratio of amount or concentrations of carbon to nitrogen	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	chemical administration	chem_administration	[CHEBI;timestamp]	CHEBI (Chemical Entities of Biological Interest) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=CHEBI	multiple	CHEBI term;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	chloride	chloride	[measurement value]		1	float unit	concentration of chloride 	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	chlorophyll	chlorophyll	[measurement value]		1	float unit	concentration of chlorophyll	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	diether lipids	diether_lipids	[diether lipid name;measurement value]		multiple	text;float unit	concentration of diether lipids; can include multiple types of diether lipids	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	dissolved carbon dioxide	diss_carb_dioxide	[measurement value]		1	float unit	concentration of dissolved carbon dioxide	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	dissolved hydrogen	diss_hydrogen	[measurement value]		1	float unit	concentration of dissolved hydrogen	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	dissolved organic carbon	diss_org_carb	[measurement value]		1	float unit	concentration of dissolved organic carbon	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	dissolved oxygen	diss_oxygen	[measurement value]		1	float unit	concentration of dissolved oxygen	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	glucosidase activity	glucosidase_act	[measurement value]		1	float unit	measurement of glucosidase activity	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	magnesium	magnesium	[measurement value]		1	float unit	concentration of magnesium	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	mean friction velocity	mean_frict_vel	[measurement value]		1	float unit	measurement of mean friction velocity	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	mean peak friction velocity	mean_peak_frict_vel	[measurement value]		1	float unit	measurement of mean peak friction velocity	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	methane	methane	[measurement value]		1	float unit	methane (gas) amount or concentration at the time of sampling	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	miscellaneous parameter	misc_param	[parameter name;measurement value]		multiple	text;float unit or text	any other measurement performed or parameter collected, that is not listed here	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	n-alkanes	n-alkanes	[n-alkane name;measurement value]		multiple	text;float unit	concentration of n-alkanes; can include multiple n-alkanes	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	nitrate	nitrate	[measurement value]		1	float unit	concentration of nitrate	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	nitrite	nitrite	[measurement value]		1	float unit	concentration of nitrite	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	nitrogen	nitro	[measurement value]		1	float unit	concentration of nitrogen (total)	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	organic carbon	org_carb	[measurement value]		1	float unit	concentration of organic carbon	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	organic matter	org_matter	[measurement value]		1	float unit	concentration of organic matter 	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	organic nitrogen	org_nitro	[measurement value]		1	float unit	concentration of organic nitrogen	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	organism count	organism_count	[organism name;measurement value]		multiple	text;float unit	total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	oxygenation status of sample	oxy_stat_samp	[enumeration]	aerobic, anaerobic	1	Controlled vocabulary term	oxygenation status of sample	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	particulate organic carbon	part_org_carb	[measurement value]		1	float unit	concentration of particulate organic carbon	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	perturbation	perturbation	[perturbation type name;time interval]		multiple	text;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	petroleum hydrocarbon	petroleum_hydrocarb	[measurement value]		1	float unit	concentration of petroleum hydrocarbon	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	pH	ph	[measurement value]		1	float unit	pH measurement	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	phaeopigments	phaeopigments	[phaeopigment name;measurement value]		multiple	text;float unit	concentration of phaeopigments; can include multiple phaeopigments	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	phosphate	phosphate	[measurement value]		1	float unit	concentration of phosphate	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	phospholipid fatty acid	phosplipid_fatt_acid	[phospholipid fatty acid name;measurement value]		multiple	text;float unit	concentration of phospholipid fatty acids; can include multiple values	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	potassium	potassium	[measurement value]		1	float unit	concentration of potassium 	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	pressure	pressure	[measurement value]		1	float unit	pressure to which the sample is subject, in atmospheres	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	redox potential	redox_potential	[measurement value]		1	float unit	redox potential, measured relative to a hydrogen cell, indicating oxidation or reduction potential	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	salinity	salinity	[measurement value]		1	float unit	salinity measurement	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	sample storage duration	samp_store_dur	[time interval]		1	[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	duration for which sample was stored	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	sample storage location	samp_store_loc	[location name]		1	text	location at which sample was stored, usually name of a specific freezer/room	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	sample storage temperature	samp_store_temp	[measurement value]		1	float unit	temperature at which sample was stored, e.g. -80	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	silicate	silicate	[measurement value]		1	float unit	concentration of silicate	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	sulfate	sulfate	[measurement value]		1	float unit	concentration of sulfate	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	sulfide	sulfide	[measurement value]		1	float unit	concentration of sulfide	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	temperature	temp	[measurement value]		1	float unit	temperature of the sample at time of sampling	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	total carbon	tot_carb	[measurement value]		1	float unit	total carbon content	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	total nitrogen	tot_nitro	[measurement value]		1	float unit	total amount or concentration of nitrogenous substances	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	total organic carbon	tot_org_carb	[measurement value]		1	float unit	total organic carbon content	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	turbidity	turbidity	[measurement value]		1	float unit	turbidity measurement	X	X	X	X	X	X	X	X	0
microbial mat/biofilm	water content	water_content	[measurement value]		1	float unit	water content measurement	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	alkalinity	alkalinity	[measurement value]		1	float unit	alkalinity measurement	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	ammonium	ammonium	[measurement value]		1	float unit	concentration of ammonium	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	biomass	biomass	[biomass type;measurement value]		multiple	text;float unit	amount of biomass; should include the name for the part of biomass measured, e.g. microbial, total. can include multiple measurements	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	bromide	bromide	[measurement value]		1	float unit	concentration of bromide 	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	calcium	calcium	[measurement value]		1	float unit	concentration of calcium	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	chemical administration	chem_administration	[CHEBI;timestamp]	CHEBI (Chemical Entities of Biological Interest) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=CHEBI	multiple	CHEBI term;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	chloride	chloride	[measurement value]		1	float unit	concentration of chloride 	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	chlorophyll	chlorophyll	[measurement value]		1	float unit	concentration of chlorophyll	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	current	current	[measurement value]		1	float unit	measurement of current 	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	density	density	[measurement value]		1	float unit	density of sample	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	diether lipids	diether_lipids	[diether lipid name;measurement value]		multiple	text;float unit	concentration of diether lipids; can include multiple types of diether lipids	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	dissolved carbon dioxide	diss_carb_dioxide	[measurement value]		1	float unit	concentration of dissolved carbon dioxide	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	dissolved hydrogen	diss_hydrogen	[measurement value]		1	float unit	concentration of dissolved hydrogen	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	dissolved oxygen	diss_oxygen	[measurement value]		1	float unit	concentration of dissolved oxygen	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	miscellaneous parameter	misc_param	[parameter name;measurement value]		multiple	text;float unit or text	any other measurement performed or parameter collected, that is not listed here	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	nitrate	nitrate	[measurement value]		1	float unit	concentration of nitrate	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	nitrite	nitrite	[measurement value]		1	float unit	concentration of nitrite	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	nitrogen	nitro	[measurement value]		1	float unit	concentration of nitrogen (total)	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	organic carbon	org_carb	[measurement value]		1	float unit	concentration of organic carbon	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	organic matter	org_matter	[measurement value]		1	float unit	concentration of organic matter 	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	organic nitrogen	org_nitro	[measurement value]		1	float unit	concentration of organic nitrogen	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	organism count	organism_count	[organism name;measurement value]		multiple	text;float unit	total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	oxygenation status of sample	oxy_stat_samp	[enumeration]	aerobic, anaerobic	1	Controlled vocabulary term	oxygenation status of sample	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	perturbation	perturbation	[perturbation type name;time interval]		multiple	text;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	pH	ph	[measurement value]		1	float unit	pH measurement	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	phosphate	phosphate	[measurement value]		1	float unit	concentration of phosphate	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	phospholipid fatty acid	phosplipid_fatt_acid	[phospholipid fatty acid name;measurement value]		multiple	text;float unit	concentration of phospholipid fatty acids; can include multiple values	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	potassium	potassium	[measurement value]		1	float unit	concentration of potassium 	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	pressure	pressure	[measurement value]		1	float unit	pressure to which the sample is subject, in atmospheres	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	salinity	salinity	[measurement value]		1	float unit	salinity measurement	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	sample storage duration	samp_store_dur	[time interval]		1	[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	duration for which sample was stored	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	sample storage location	samp_store_loc	[location name]		1	text	location at which sample was stored, usually name of a specific freezer/room	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	sample storage temperature	samp_store_temp	[measurement value]		1	float unit	temperature at which sample was stored, e.g. -80	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	silicate	silicate	[measurement value]		1	float unit	concentration of silicate	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	sulfate	sulfate	[measurement value]		1	float unit	concentration of sulfate	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	sulfide	sulfide	[measurement value]		1	float unit	concentration of sulfide	X	X	X	X	X	X	X	X	0
miscellaneous natural or artificial environment	temperature	temp	[measurement value]		1	float unit	temperature of the sample at time of sampling	X	X	X	X	X	X	X	X	0
plant-associated	age	age	[value]		1	float unit	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	X	X	X	X	X	X	X	X	0
plant-associated	air temperature regimen	air_temp_regm	[temperature value;treatment duration;interval;experimental duration]		multiple	float unit;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	information about treatment involving an exposure to varying temperatures; should include the temperature, treatment duration, interval and total experimental duration; can include different temperature regimens	X	X	X	X	X	X	X	X	0
plant-associated	antibiotic regimen	antibiotic_regm	[antibiotic name;antibiotic amount;treatment duration;interval;experimental duration]		multiple	text;float unit;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	information about treatment involving antibiotic administration; should include the name of antibiotic, amount administered, treatment duration, interval and total experimental duration; can include multiple antibiotic regimens	X	X	X	X	X	X	X	X	0
plant-associated	body product	body_product	[FMA]	FMA (Foundational Model of Anatomy) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=FMA	1	FMA term	substance produced by the body, e.g. stool, mucus, where the sample was obtained from	X	X	X	X	X	X	X	X	0
plant-associated	chemical administration	chem_administration	[CHEBI;timestamp]	CHEBI (Chemical Entities of Biological Interest) browser; http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=CHEBI	multiple	CHEBI term;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds	X	X	X	X	X	X	X	X	0
plant-associated	chemical mutagen	chem_mutagen	[mutagen name;mutagen amount;treatment duration;interval;experimental duration]		multiple	text;float unit;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	treatment involving use of mutagens; should include the name of mutagen, amount administered, treatment duration, interval and total experimental duration; can include multiple mutagen regimens	X	X	X	X	X	X	X	X	0
plant-associated	climate environment	climate_environment	[climate name;treatment duration;interval;experimental duration]		multiple	text;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	treatment involving an exposure to a particular climate; can include multiple climates	X	X	X	X	X	X	X	X	0
plant-associated	disease status	disease_stat	[disease name or DO]	DO (Disease Ontology); http://gemina.svn.sourceforge.net/viewvc/gemina/trunk/Gemina/ontologies/gemina_symptom.obo?view=log	multiple	text or DO term	list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology), other hosts are free text	X	X	X	X	X	X	X	X	0
plant-associated	dry mass	dry_mass	[measurement value]		1	float unit	measurement of dry mass	X	X	X	X	X	X	X	X	0
plant-associated	fertilizer regimen	fertilizer_regm	[fertilizer name;fertilizer amount;treatment duration;interval;experimental duration]		multiple	text;float unit;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	information about treatment involving the use of fertilizers; should include the name fertilizer, amount administered, treatment duration, interval and total experimental duration; can include multiple fertilizer regimens	X	X	X	X	X	X	X	X	0
plant-associated	fungicide regimen	fungicide_regm	[fungicide name;fungicide amount;treatment duration;interval;experimental duration]		multiple	text;float unit;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	information about treatment involving use of fungicides; should include the name of fungicide, amount administered, treatment duration, interval and total experimental duration; can include multiple fungicide regimens	X	X	X	X	X	X	X	X	0
plant-associated	gaseous environment	gaseous_environment	[gaseous compound name;gaseous compound amount;treatment duration;interval;experimental duration]		multiple	text;float unit;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	use of conditions with differing gaseous environments; should include the name of gaseous compound, amount administered, treatment duration, interval and total experimental duration; can include multiple gaseous environment regimens	X	X	X	X	X	X	X	X	0
plant-associated	genotype	genotype	[genotype]		1	text	observed genotype	X	X	X	X	X	X	X	X	0
plant-associated	gravity	gravity	[gravity factor value;treatment duration;interval;experimental duration]		multiple	float unit;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	information about treatment involving use of gravity factor to study various types of responses in presence, absence or modified levels of gravity; can include multiple treatments	X	X	X	X	X	X	X	X	0
plant-associated	growth hormone regimen	growth_hormone_regm	[growth hormone name;growth hormone amount;treatment duration;interval;experimental duration]		multiple	text;float unit;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	information about treatment involving use of growth hormones; should include the name of growth hormone, amount administered, treatment duration, interval and total experimental duration; can include multiple growth hormone regimens	X	X	X	X	X	X	X	X	0
plant-associated	growth media	growth_med	[enumeration]	soil, liquid	1	Controlled vocabulary term	information about growth media for growing the plants or tissue cultured samples	X	X	X	X	X	X	X	X	0
plant-associated	height or length	height_or_length	[measurement value]		1	float unit	measurement of height or length	X	X	X	X	X	X	X	X	0
plant-associated	herbicide regimen	herbicide_regm	[herbicide name;herbicide amount;treatment duration;interval;experimental duration]		multiple	text;float unit;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	information about treatment involving use of herbicides; information about treatment involving use of growth hormones; should include the name of herbicide, amount administered, treatment duration, interval and total experimental duration; can include multiple regimens	X	X	X	X	X	X	X	X	0
plant-associated	host common name	host_common_name	[common name]		1	text	common name of the host, e.g. human	X	X	X	X	X	X	X	X	0
plant-associated	host taxid	host_taxid	[NCBI taxon id]		1	taxon identifier	NCBI taxon id of the host, e.g. 9606	X	X	X	X	X	X	X	X	0
plant-associated	humidity regimen	humidity_regm	[humidity value;treatment duration;interval;experimental duration]		multiple	float unit;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	information about treatment involving an exposure to varying degree of humidity; information about treatment involving use of growth hormones; should include amount of humidity administered, treatment duration, interval and total experimental duration; can include multiple regimens	X	X	X	X	X	X	X	X	0
plant-associated	infra_specific_name	infra_specific_name	[name]		1	text	taxonomic information about the host below subspecies level	X	X	X	X	X	X	X	X	0
plant-associated	infra_specific_rank	infra_specific_rank	[rank]		1	text	taxonomic rank information about the host below subspecies level, such as variety, form, rank etc.	X	X	X	X	X	X	X	X	0
plant-associated	life stage	life_stage	[stage]		1	text	description of life stage of host	X	X	X	X	X	X	X	X	0
plant-associated	mechanical damage	mechanical_damage	[damage type;body site]		multiple	text;text	information about any mechanical damage exerted on the plant; can include multiple damages and sites	X	X	X	X	X	X	X	X	0
plant-associated	mineral nutrient regimen	mineral_nutr_regm	[mineral nutrient name;mineral nutrient amount;treatment duration;interval;experimental duration]		multiple	text;float unit;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	information about treatment involving the use of mineral supplements; should include the name of mineral nutrient, amount administered, treatment duration, interval and total experimental duration; can include multiple mineral nutrient regimens	X	X	X	X	X	X	X	X	0
plant-associated	miscellaneous parameter	misc_param	[parameter name;measurement value]		multiple	text;float unit or text	any other measurement performed or parameter collected, that is not listed here	X	X	X	X	X	X	X	X	0
plant-associated	non-mineral nutrient regimen	non_mineral_nutr_regm	[non-mineral nutrient name;non-mineral nutrient amount;treatment duration;interval;experimental duration]		multiple	text;float unit;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	information about treatment involving the exposure of plant to non-mineral nutrient such as oxygen, hydrogen or carbon; should include the name of non-mineral nutrient, amount administered, treatment duration, interval and total experimental duration; can include multiple non-mineral nutrient regimens	X	X	X	X	X	X	X	X	0
plant-associated	organism count	organism_count	[organism name;measurement value]		multiple	text;float unit	total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts	X	X	X	X	X	X	X	X	0
plant-associated	oxygenation status of sample	oxy_stat_samp	[enumeration]	aerobic, anaerobic	1	Controlled vocabulary term	oxygenation status of sample	X	X	X	X	X	X	X	X	0
plant-associated	perturbation	perturbation	[perturbation type name;time interval]		multiple	text;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	X	X	X	X	X	X	X	0
plant-associated	pesticide regimen	pesticide_regm	[pesticide name;pesticide amount;treatment duration;interval;experimental duration]		multiple	text;float unit;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	information about treatment involving use of insecticides; should include the name of pesticide, amount administered, treatment duration, interval and total experimental duration; can include multiple pesticide regimens	X	X	X	X	X	X	X	X	0
plant-associated	phenotype	phenotype	[PATO]	http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATO	1	PATO term	phenotype of host	X	X	X	X	X	X	X	X	0
plant-associated	pH regimen	ph_regm	[measurement value;treatment duration;interval;experimental duration]		multiple	float unit;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	information about treatment involving exposure of plants to varying levels of pH of the growth media; can include multiple regimen	X	X	X	X	X	X	X	X	0
plant-associated	plant body site	plant_body_site	[PO]	http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PO	1	PO term	name of body site that the sample was obtained from	X	X	X	X	X	X	X	X	0
plant-associated	plant product	plant_product	[product name]		1	text	substance produced by the plant, where the sample was obtained from	X	X	X	X	X	X	X	X	0
plant-associated	radiation regimen	radiation_regm	[radiation type name;radiation amount;treatment duration;interval;experimental duration]		multiple	text;float unit;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	information about treatment involving exposure of plant or a plant part to a particular radiation regimen; should include the radiation type, amount or intensity administered, treatment duration, interval and total experimental duration; can include multiple radiation regimens	X	X	X	X	X	X	X	X	0
plant-associated	rainfall regimen	rainfall_regm	[measurement value;treatment duration;interval;experimental duration]		multiple	float unit;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	information about treatment involving an exposure to a given amount of rainfall; can include multiple regimens	X	X	X	X	X	X	X	X	0
plant-associated	salt regimen	salt_regm	[salt name;salt amount;treatment duration;interval;experimental duration]		multiple	text;float unit;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	information about treatment involving use of salts as supplement to liquid and soil growth media; should include the name of salt, amount administered, treatment duration, interval and total experimental duration; can include multiple salt regimens	X	X	X	X	X	X	X	X	0
plant-associated	sample salinity	samp_salinity	[measurement value]		1	float unit	salinity of sample, i.e. measure of total salt concentration	X	X	X	X	X	X	X	X	0
plant-associated	sample storage duration	samp_store_dur	[time interval]		1	[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD	duration for which sample was stored	X	X	X	X	X	X	X	X	0
plant-associated	sample storage location	samp_store_loc	[location name]		1	text	location at which sample was stored, usually name of a specific freezer/room	X	X	X	X	X	X	X	X	0
plant-associated	sample storage temperature	samp_store_temp	[measurement value]		1	float unit	temperature at which sample was stored, e.g. -80	X	X	X	X	X	X	X	X	0
plant-associated	seasonal environment	season_environment	[seasonal environment name;treatment duration;interval;experimental duration]		multiple	text;P[n]Y[n]M[n]DT[n]H[n]M[n]S;[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD/[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]TZD;P[n]Y[n]M[n]DT[n]H[n]M[n]S	treatment involving an exposure to a particular season (e.g. winter, summer, rabi, rainy etc.)	X	X	X	X	X	X	X	X	0
