name_accession_number,name,host,host_phylum,viral_family,host_kingdom,name_accesion
NC_001341 ,Acholeplasma phage MV-L1,Acholeplasma,Firmicutes,Inoviridae,Bacteria,NC_001341
NC_001365 ,Spiroplasma phage 1-R8A2B,Spiroplasma,Firmicutes,Inoviridae,Bacteria,NC_001365
NC_001396 ,Xanthomonas phage Cf1c,Xanthomonas,GammaProteo,Inoviridae,Bacteria,NC_001396
NC_001416 ,Bacteriophage lambda,Escherichia,GammaProteo,Siphoviridae,Bacteria,NC_001416
NC_001417 ,Levivirus Enterobacteria phage MS2,,GammaProteo,Leviviridae,Bacteria,NC_001417
NC_001418 ,Pseudomonas phage Pf3,Pseudomonas,GammaProteo,Inoviridae,Bacteria,NC_001418
NC_001420 ,Enterobacteria phage G4,Escherichia,GammaProteo,Microviridae,Bacteria,NC_001420
NC_001421 ,Enterobacteria phage PRD1,Escherichia,GammaProteo,Tectiviridae,Bacteria,NC_001421
NC_001422 ,Coliphage phiX174,Escherichia,GammaProteo,Microviridae,Bacteria,NC_001422
NC_001424 ,Enterobacteria phage S13,Salmonella,GammaProteo,Microviridae,Bacteria,NC_001424
NC_001426 ,Enterobacteria phage GA,Escherichia,GammaProteo,Leviviridae,Bacteria,NC_001426
NC_001447 ,Acholeplasma phage L2,Acholeplasma,Firmicutes,Plasmaviridae,Bacteria,NC_001447
NC_001604 ,Enterobacteria phage T7,Escherichia,GammaProteo,Podoviridae,Bacteria,NC_001604
NC_001609 ,Bacteriophage P4,Escherichia,GammaProteo,Myoviridae,Bacteria,NC_001609
NC_001628 ,Pseudomonas phage PP7,Pseudomonas,GammaProteo,Leviviridae,Bacteria,NC_001628
NC_001629 ,c2-like viruses Lactococcus phage bIL67,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_001629
NC_001697 ,Haemophilus phage HP1,Haemophilus,GammaProteo,Myoviridae,Bacteria,NC_001697
NC_001706 ,Lactococcus phage c2,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_001706
NC_001730 ,Coliphage phiK,Escherichia,GammaProteo,Microviridae,Bacteria,NC_001730
NC_001741 ,Chlamydiamicrovirus Chlamydia phage Chp1,Chlamydia,Chlamydiae,Microviridae,Bacteria,NC_001741
NC_001825 ,Streptococcus phage Cp-1,Streptococcus,Firmicutes,Podoviridae,Bacteria,NC_001825
NC_001835 ,Bacteriophage sk1,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_001835
NC_001884 ,Bacteriophage SPBc2,Bacillus,Firmicutes,Siphoviridae,Bacteria,NC_001884
NC_001890 ,Allolevivirus Enterobacteria phage Qbeta,,GammaProteo,Leviviridae,Bacteria,NC_001890
NC_001891 ,Enterobacteria phage NL95,Escherichia,GammaProteo,Leviviridae,Bacteria,NC_001891
NC_001895 ,Enterobacteria phage P2,Escherichia,GammaProteo,Myoviridae,Bacteria,NC_001895
NC_001900 ,Mycobacteriophage D29,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_001900
NC_001901 ,Bacteriophage N15,Escherichia,GammaProteo,Siphoviridae,Bacteria,NC_001901
NC_001902 ,Methanobacterium phage psiM2,Methanobacterium,Euryachaeota,Siphoviridae,Archaea,NC_001902
NC_001909 ,Bacteriophage bIL170,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_001909
NC_001942 ,Mycoplasma arthritidis bacteriophage MAV1,Mycoplasma,Firmicutes,Unclassified DS,Bacteria,NC_001942
NC_001954 ,Enterobacteria phage If1,Escherichia,GammaProteo,Inoviridae,Bacteria,NC_001954
NC_001956 ,Vibrio cholerae filamentous bacteriophage fs-2,Vibrio,GammaProteo,Inoviridae,Bacteria,NC_001956
NC_001978 ,Bacteriophage phi-C31,Streptomyces,Actinobacteria,Siphoviridae,Bacteria,NC_001978
NC_001998 ,Chlamydia phage PhiCPG1,Chlamydia,Chlamydiae,Microviridae,Bacteria,NC_001998
NC_002014 ,Enterobacteria phage Ike,Escherichia,GammaProteo,Inoviridae,Bacteria,NC_002014
NC_002072 ,Streptococcus thermophilus bacteriophage DT1,Streptococcus,Firmicutes,Siphoviridae,Bacteria,NC_002072
NC_002166 ,Enterobacteria phage HK022,Escherichia,GammaProteo,Siphoviridae,Bacteria,NC_002166
NC_002167 ,Bacteriophage HK97,Escherichia,GammaProteo,Siphoviridae,Bacteria,NC_002167
NC_002180 ,Chlamydia phage phiCPAR39,Chlamydia,Chlamydiae,Microviridae,Bacteria,NC_002180
NC_002185 ,Streptococcus thermophilus bacteriophage 7201,Streptococcus,Firmicutes,Siphoviridae,Bacteria,NC_002185
NC_002194 ,Chlamydia phage 2,Chlamydia,Chlamydiae,Microviridae,Bacteria,NC_002194
NC_002214 ,Streptococcus thermophilus bacteriophage Sfi11,Streptococcus,Firmicutes,Siphoviridae,Bacteria,NC_002214
NC_002250 ,Enterobacteria phage KU1,Escherichia,GammaProteo,Leviviridae,Bacteria,NC_002250
NC_002321 ,PVL,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_002321
NC_002362 ,Bacteriophage VfO3K6,Vibrio,GammaProteo,Inoviridae,Bacteria,NC_002362
NC_002363 ,Bacteriophage VfO4K68,Vibrio,GammaProteo,Inoviridae,Bacteria,NC_002363
NC_002371 ,Enterobacteria phage P22,Salmonella,GammaProteo,Podoviridae,Bacteria,NC_002371
NC_002484 ,Pseudomonas phage D3,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,NC_002484
NC_002486 ,phiPV83,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_002486
NC_002515 ,Mycoplasma virus P1,Mycoplasma,Firmicutes,Podoviridae,Bacteria,NC_002515
NC_002519 ,Roseophage SIO1,Roseobacter,AlfaProteo,Podoviridae,Bacteria,NC_002519
NC_002628 ,Methanothermobacter wolfeii prophage psiM100,Methanothermobacter,Euryachaeota,Siphoviridae,Archaea,NC_002628
NC_002643 ,Phage phiMH2K,Bdellovibrio,DeltaProteo,Microviridae,Bacteria,NC_002643
NC_002649 ,GA-1,Bacillus,Firmicutes,Podoviridae,Bacteria,NC_002649
NC_002656 ,Mycobacterium phage Bxb1,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_002656
NC_002661 ,phiSLT,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_002661
NC_002666 ,Bacteriophage bIL285,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_002666
NC_002667 ,Bacteriophage bIL286,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_002667
NC_002668 ,Bacteriophage bIL309,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_002668
NC_002669 ,Bacteriophage bIL310,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_002669
NC_002670 ,Bacteriophage bIL311,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_002670
NC_002671 ,Bacteriophage bIL312,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_002671
NC_002700 ,Bacteriophage AP205,Acinetobacter,GammaProteo,Leviviridae,Bacteria,NC_002700
NC_002703 ,Bacteriophage Tuc2009,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_002703
NC_002730 ,Bacteriophage HK620,Escherichia,GammaProteo,Podoviridae,Bacteria,NC_002730
NC_002747 ,Lactococcus lactis bacteriophage TP901-1,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_002747
NC_002796 ,Lactococcus phage BK5-T,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_002796
NC_003050 ,Streptococcus pneumoniae bacteriophage MM1,Streptococcus,Firmicutes,Siphoviridae,Bacteria,NC_003050
NC_003085 ,Bacteriophage Mx8,Myxococcus,DeltaProteo,Podoviridae,Bacteria,NC_003085
NC_003157 ,Temperate phage PhiNIH1.1,Streptococcus,Firmicutes,Siphoviridae,Bacteria,NC_003157
NC_003214 ,Sulfolobus islandicus filamentous virus,Sulfolobus,Crenarchaeota,Lipothrixviridae,Archaea,NC_003214
NC_003216 ,Bacteriophage A118,Listeria,Firmicutes,Siphoviridae,Bacteria,NC_003216
NC_003278 ,Bacteriophage phi CTX,Pseudomonas,GammaProteo,Myoviridae,Bacteria,NC_003278
NC_003287 ,Enterobacteria phage M13,Escherichia,GammaProteo,Inoviridae,Bacteria,NC_003287
NC_003288 ,Bacteriophage phi ETA,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_003288
NC_003291 ,Bacteriophage PSA,Listeria,Firmicutes,Siphoviridae,Bacteria,NC_003291
NC_003298 ,Bacteriophage T3,Escherichia,GammaProteo,Podoviridae,Bacteria,NC_003298
NC_003299 ,Bacteriophage phi-8,Pseudomonas,GammaProteo,Cystoviridae,Bacteria,NC_003299
NC_003300 ,Bacteriophage phi-8,Pseudomonas,GammaProteo,Cystoviridae,Bacteria,NC_003300
NC_003301 ,Bacteriophage phi-8,Pseudomonas,GammaProteo,Cystoviridae,Bacteria,NC_003301
NC_003309 ,Bacteriophage phiE125,Burkholderia ,BetaProteo,Siphoviridae,Bacteria,NC_003309
NC_003311 ,Bacteriophage VSKK,Vibrio,GammaProteo,Inoviridae,Bacteria,NC_003311
NC_003313 ,K139-like phages Vibrio phage K139,Vibrio,GammaProteo,Myoviridae,Bacteria,NC_003313
NC_003315 ,Haemophilus phage HP2,Haemophilus,GammaProteo,Myoviridae,Bacteria,NC_003315
NC_003324 ,Sinorhizobium meliloti phage PBC5,Sinorhizobium,Actinobacteria,Caudovirales,Bacteria,NC_003324
NC_003327 ,Vibrio phage VSK,Vibrio,GammaProteo,Inoviridae,Bacteria,NC_003327
NC_003345 ,Halovirus HF2,Halorubrum,Euryachaeota,Unclassified SS,Archaea,NC_003345
NC_003356 ,Bacteriophage P27,Escherichia,GammaProteo,Myoviridae,Bacteria,NC_003356
NC_003387 ,Mycobacteriophage TM4,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_003387
NC_003390 ,Cyanophage P60,Synechococcus,Cyanobacteria,Podoviridae,Bacteria,NC_003390
NC_003438 ,Spiroplasma phage 4,Spiroplasma,Firmicutes,Gokushovirinae,Bacteria,NC_003438
NC_003444 ,Shigella flexneri bacteriophage V,Shigella,GammaProteo,Myoviridae,Bacteria,NC_003444
NC_003460 ,Propionibacterium phage phiB5,Propionibacterium,Actinobacteria,Inoviridae,Bacteria,NC_003460
NC_003524 ,Bacteriophage phi3626,Clostridium,Firmicutes,Siphoviridae,Bacteria,NC_003524
NC_003525 ,Stx2 converting bacteriophage I,Escherichia,GammaProteo,Podoviridae,Bacteria,NC_003525
NC_003714 ,Pseudomonas phage phi-6,Pseudomonas,GammaProteo,Cystoviridae,Bacteria,NC_003714
NC_003715 ,Pseudomonas phage phi-6,Pseudomonas,GammaProteo,Cystoviridae,Bacteria,NC_003715
NC_003716 ,Pseudomonas phage phi-6,Pseudomonas,GammaProteo,Cystoviridae,Bacteria,NC_003716
NC_003793 ,Spiroplasma phage 1-C74,Spiroplasma,Firmicutes,Inoviridae,Bacteria,NC_003793
NC_003907 ,Vibriophage VpV262,Vibrio,GammaProteo,Podoviridae,Bacteria,NC_003907
NC_004066 ,Lactococcus lactis bacteriophage ul36,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_004066
NC_004084 ,Virus PhiCh1,Natrialba,Euryachaeota,Myoviridae,Archaea,NC_004084
NC_004086 ,Sulfolobus islandicus rod-shaped virus 2,Sulfolobus,Crenarchaeota,Rudivirdae,Archaea,NC_004086
NC_004087 ,Sulfolobus islandicus rod-shaped virus 1,Sulfolobus,Crenarchaeota,Rudivirdae,Archaea,NC_004087
NC_004112 ,Lactobacillus casei bacteriophage A2,Lactobacillus,Firmicutes,Siphoviridae,Bacteria,NC_004112
NC_004165 ,Bacteriophage B103,Bacillus,Firmicutes,Podoviridae,Bacteria,NC_004165
NC_004166 ,Bacteriophage SPP1,Bacillus,Firmicutes,Siphoviridae,Bacteria,NC_004166
NC_004167 ,Bacteriophage phi-105,Bacillus,Firmicutes,Siphoviridae,Bacteria,NC_004167
NC_004170 ,Pseudomonas bacteriophage phi-13,Pseudomonas,GammaProteo,Cystoviridae,Bacteria,NC_004170
NC_004171 ,Pseudomonas bacteriophage phi-13,Pseudomonas,GammaProteo,Cystoviridae,Bacteria,NC_004171
NC_004172 ,Pseudomonas bacteriophage phi-13,Pseudomonas,GammaProteo,Cystoviridae,Bacteria,NC_004172
NC_004173 ,Bacteriophage phi-12,Pseudomonas,GammaProteo,Cystoviridae,Bacteria,NC_004173
NC_004174 ,Bacteriophage phi-12,Pseudomonas,GammaProteo,Cystoviridae,Bacteria,NC_004174
NC_004175 ,Bacteriophage phi-12,Pseudomonas,GammaProteo,Cystoviridae,Bacteria,NC_004175
NC_004301 ,Allolevivirus Enterobacteria phage FI sensu lato,,GammaProteo,Leviviridae,Bacteria,NC_004301
NC_004302 ,Bacteriophage r1t,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_004302
NC_004303 ,Streptococcus thermophilus temperate bacteriophage O1205,Streptococcus,Firmicutes,Siphoviridae,Bacteria,NC_004303
NC_004304 ,Bacteriophage M11,Escherichia,GammaProteo,Leviviridae,Bacteria,NC_004304
NC_004305 ,Bacteriophage phig1e,Lactobacillus,Firmicutes,Siphoviridae,Bacteria,NC_004305
NC_004306 ,Vibrio cholerae O139 fs1 phage,Vibrio,GammaProteo,Inoviridae,Bacteria,NC_004306
NC_004313 ,Salmonella typhimurium phage ST64B,Salmonella,GammaProteo,Caudovirales,Bacteria,NC_004313
NC_004333 ,Burkholderia phage Bcep781,Burkholderia ,BetaProteo,Myoviridae,Bacteria,NC_004333
NC_004348 ,Salmonella typhimurium bacteriophage ST64T,Salmonella,GammaProteo,Podoviridae,Bacteria,NC_004348
NC_004456 ,Vibrio harveyi bacteriophage VHML,Vibrio,GammaProteo,Myoviridae,Bacteria,NC_004456
NC_004462 ,Bacteriophage IN93,Thermus,Deynococcus-Thermus,Unclassified DS,Bacteria,NC_004462
NC_004466 ,Pseudomonas aeruginosa phage PaP3,Pseudomonas,GammaProteo,Podoviridae,Bacteria,NC_004466
NC_004584 ,Streptococcus pyogenes phage 315.1,Streptococcus,Firmicutes,Unclassified,Bacteria,NC_004584
NC_004585 ,Streptococcus pyogenes phage 315.2,Streptococcus,Firmicutes,Unclassified,Bacteria,NC_004585
NC_004586 ,Streptococcus pyogenes phage 315.3,Streptococcus,Firmicutes,Unclassified,Bacteria,NC_004586
NC_004587 ,Streptococcus pyogenes phage 315.4,Streptococcus,Firmicutes,Unclassified,Bacteria,NC_004587
NC_004588 ,Streptococcus pyogenes phage 315.5,Streptococcus,Firmicutes,Unclassified,Bacteria,NC_004588
NC_004589 ,Streptococcus pyogenes phage 315.6,Streptococcus,Firmicutes,Unclassified,Bacteria,NC_004589
NC_004615 ,phi 11,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_004615
NC_004616 ,phi 12,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_004616
NC_004617 ,phi 13,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_004617
NC_004629 ,Pseudomonas phage phiKZ,Pseudomonas,GammaProteo,Myoviridae,Bacteria,NC_004629
NC_004664 ,Bacteriophage phi-BT1,Streptomyces,Actinobacteria,Siphoviridae,Bacteria,NC_004664
NC_004665 ,Pseudomonas phage gh-1,Pseudomonas,GammaProteo,Podoviridae,Bacteria,NC_004665
NC_004678 ,44AHJD,Staphylococcus,Firmicutes,Podoviridae,Bacteria,NC_004678
NC_004679 ,phiP68,Staphylococcus,Firmicutes,Podoviridae,Bacteria,NC_004679
NC_004680 ,Mycobacteriophage Che8,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_004680
NC_004681 ,Mycobacteriophage CJW1,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_004681
NC_004682 ,Mycobacterium phage Bxz2,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_004682
NC_004683 ,Mycobacteriophage Che9c,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_004683
NC_004684 ,Mycobacteriophage Rosebush,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_004684
NC_004685 ,Mycobacteriophage Corndog,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_004685
NC_004686 ,Mycobacteriophage Che9d,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_004686
NC_004687 ,Mycobacterium phage Bxz1,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,NC_004687
NC_004688 ,Mycobacteriophage Omega,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_004688
NC_004689 ,Mycobacteriophage Barnyard,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_004689
NC_004735 ,Bacteriophage RM 378,Rhpdpthermus,Bacteroidetes,Myoviridae,Bacteria,NC_004735
NC_004736 ,Vibrio cholerae phage VGJphi,Vibrio,GammaProteo,Inoviridae,Bacteria,NC_004736
NC_004740 ,phiN315,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_004740
NC_004745 ,Bacteriophage L-413C,Yersinia,GammaProteo,Myoviridae,Bacteria,NC_004745
NC_004746 ,Lactococcus phage 4268,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_004746
NC_004775 ,Enterobacteria phage epsilon15,Salmonella,GammaProteo,Podoviridae,Bacteria,NC_004775
NC_004777 ,Yersinia pestis phage phiA1122,Yersinia,GammaProteo,Podoviridae,Bacteria,NC_004777
NC_004813 ,Phage phi 4795,Escherichia,GammaProteo,Siphoviridae,Bacteria,NC_004813
NC_004814 ,Streptococcus phage C1,Streptococcus,Firmicutes,Podoviridae,Bacteria,NC_004814
NC_004820 ,Bacteriophage phBC6A51,Bacillus,Firmicutes,Prophage,Bacteria,NC_004820
NC_004821 ,Bacteriophage phBC6A52,Bacillus,Firmicutes,Prophage,Bacteria,NC_004821
NC_004827 ,Bacteriophage Aaphi23,Actinobacillus,GammaProteo,Myoviridae,Bacteria,NC_004827
NC_004831 ,Enterobacteria phage SP6,Salmonella,GammaProteo,Podoviridae,Bacteria,NC_004831
NC_004902 ,Xanthomonas oryzae bacteriophage Xp10,Xanthomonas,GammaProteo,Siphoviridae,Bacteria,NC_004902
NC_004913 ,Stx1 converting bacteriophage,Escherichia,GammaProteo,Siphoviridae,Bacteria,NC_004913
NC_004914 ,Stx2 converting bacteriophage II,Escherichia,GammaProteo,Siphoviridae,Bacteria,NC_004914
NC_004927 ,Halovirus HF1,Haloferax,Euryachaeota,Unclassified DS,Archaea,NC_004927
NC_004928 ,Enterobacteria phage RB69,Escherichia,GammaProteo,Myoviridae,Bacteria,NC_004928
NC_004996 ,Streptococcus mitis phage SM1,Streptococcus,Firmicutes,Siphoviridae,Bacteria,NC_004996
NC_005045 ,bacteriophage phiKMV,Pseudomonas,GammaProteo,Podoviridae,Bacteria,NC_005045
NC_005056 ,Bacteriophage WPhi,Escherichia,GammaProteo,Myoviridae,Bacteria,NC_005056
NC_005066 ,Enterobacteria phage RB49,Escherichia,GammaProteo,Myoviridae,Bacteria,NC_005066
NC_005069 ,Bacteriophage PY54,Yersinia,GammaProteo,Siphoviridae,Bacteria,NC_005069
NC_005083 ,Bacteriophage KVP40,Vibrio,GammaProteo,Myoviridae,Bacteria,NC_005083
NC_005091 ,Burkholderia cepacia phage BcepNazgul,Burkholderia ,BetaProteo,Siphoviridae,Bacteria,NC_005091
NC_005131 ,Ralstonia phage p12J,Ralstonia,BetaProteo,Inoviridae,Bacteria,NC_005131
NC_005135 ,Bacteriophage 44RR2.8t,Aeromonas,GammaProteo,Myoviridae,Bacteria,NC_005135
NC_005178 ,Bacteriophage D3112,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,NC_005178
NC_005258 , Bam35c,Bacillus,Firmicutes,Tectiviridae,Bacteria,NC_005258
NC_005259 ,Mycobacteriophage PG1,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_005259
NC_005260 ,Bacteriophage Aeh1,Aeromonas,GammaProteo,Myoviridae,Bacteria,NC_005260
NC_005262 ,Burkholderia cepacia phage Bcep22,Burkholderia ,BetaProteo,Podoviridae,Bacteria,NC_005262
NC_005263 ,Burkholderia cepacia phage Bcep1,Burkholderia ,BetaProteo,Myoviridae,Bacteria,NC_005263
NC_005265 ,Sulfolobus virus 2,Sulfolobus,Crenarchaeota,Fuselloviridae,Archaea,NC_005265
NC_005282 ,Bacteriophage Felix 01,Salmonella,GammaProteo,Myoviridae,Bacteria,NC_005282
NC_005284 ,Bacteriophage phi1026b,Burkholderia ,BetaProteo,Siphoviridae,Bacteria,NC_005284
NC_005294 ,Bacteriophage EJ-1,Streptococcus,Firmicutes,Myoviridae,Bacteria,NC_005294
NC_005340 ,Bacteriophage PSP3,Salmonella,GammaProteo,Myoviridae,Bacteria,NC_005340
NC_005342 ,Burkholderia cepacia phage Bcep43,Burkholderia ,BetaProteo,Myoviridae,Bacteria,NC_005342
NC_005344 ,Enterobacteria phage Sf6,Shigella,GammaProteo,Podoviridae,Bacteria,NC_005344
NC_005345 ,Bacteriophage VWB,Streptomyces,Actinobacteria,Siphoviridae,Bacteria,NC_005345
NC_005354 ,Lactobacillus prophage Lj928,Lactobacillus,Firmicutes,Siphoviridae,Bacteria,NC_005354
NC_005355 ,Lactobacillus prophage Lj965,Lactobacillus,Firmicutes,Siphoviridae,Bacteria,NC_005355
NC_005356 ,Bacteriophage 77,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_005356
NC_005357 ,Bordetella phage BPP-1,Bordetella,BetaProteo,Podoviridae,Bacteria,NC_005357
NC_005360 ,Sulfolobus virus Ragged Hills,Sulfolobus,Crenarchaeota,Fuselloviridae,Archaea,NC_005360
NC_005361 ,Sulfolobus virus Kamchatka 1,Sulfolobus,Crenarchaeota,Fuselloviridae,Archaea,NC_005361
NC_005808 ,Bordetella phage BMP-1,Bordetella,BetaProteo,Podoviridae,Bacteria,NC_005808
NC_005809 ,Bordetella phage BIP-1,Bordetella,BetaProteo,Podoviridae,Bacteria,NC_005809
NC_005822 ,Bacteriophage phi LC3,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_005822
NC_005830 ,Acidianus filamentous virus 1,Acidianus,Crenarchaeota,Lipothrixviridae,Archaea,NC_005830
NC_005833 ,Enterobacteria phage T1,Escherichia,GammaProteo,Siphoviridae,Bacteria,NC_005833
NC_005841 ,Salmonella typhimurium bacteriophage ST104,Salmonella,GammaProteo,Podoviridae,Bacteria,NC_005841
NC_005856 ,Enterobacteria phage P1,Escherichia,GammaProteo,Myoviridae,Bacteria,NC_005856
NC_005857 ,Bacteriophage phiKO2,Klebsiella,GammaProteo,Siphoviridae,Bacteria,NC_005857
NC_005859 ,Bacteriophage T5,Escherichia,GammaProteo,Siphoviridae,Bacteria,NC_005859
NC_005872 ,Pyrobaculum spherical virus,Pyrobaculum,Crenarchaeota,Globuloviridae,Archaea,NC_005872
NC_005879 ,Vibriophage VP2,Vibrio,GammaProteo,Podoviridae,Bacteria,NC_005879
NC_005882 ,Burkholderia cenocepacia phage BcepMu,Burkholderia ,BetaProteo,Myoviridae,Bacteria,NC_005882
NC_005884 ,Pseudomonas aeruginosa bacteriophage PaP2,Pseudomonas,GammaProteo,Podoviridae,Bacteria,NC_005884
NC_005885 ,Actinoplanes phage phiAsp2,Actinoplanes,Actinobacteria,Siphoviridae,Bacteria,NC_005885
NC_005886 ,Burkholderia cenocepacia phage BcepB1A,Burkholderia ,BetaProteo,Myoviridae,Bacteria,NC_005886
NC_005887 ,Burkholderia cepacia complex phage BcepC6B,Burkholderia ,BetaProteo,Podoviridae,Bacteria,NC_005887
NC_005891 ,Vibriophage VP5,Vibrio,GammaProteo,Podoviridae,Bacteria,NC_005891
NC_005893 ,Bacteriophage phi AT3,Lactobacillus,Firmicutes,Siphoviridae,Bacteria,NC_005893
NC_005948 ,Bacteriophage Vf33,Vibrio,GammaProteo,Inoviridae,Bacteria,NC_005948
NC_005949 ,Bacteriophage Vf12,Vibrio,GammaProteo,Inoviridae,Bacteria,NC_005949
NC_005964 ,Bacteriophage phiMFV1,Mycoplasma,Firmicutes,Unclassified,Bacteria,NC_005964
NC_006268 ,Sulfolobus virus STSV1,Sulfolobus,Crenarchaeota,Bicaudaviridae,Archaea,NC_006268
NC_006294 ,Vibrio cholerae phage KSF-1phi,Vibrio,GammaProteo,Inoviridae,Bacteria,NC_006294
NC_006356 ,Bacteriophage 11b,Flavobacterium,Bacteroidetes,Siphoviridae,Bacteria,NC_006356
NC_006548 ,Bacteriophage B3,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,NC_006548
NC_006552 ,Pseudomonas phage F116,Pseudomonas,GammaProteo,Podoviridae,Bacteria,NC_006552
NC_006556 ,Thermoproteus tenax spherical virus 1,Thermoproteus,Crenarchaeota,Globuloviridae,Archaea,NC_006556
NC_006557 , BCJA1c,Bacillus,Firmicutes,Siphoviridae,Bacteria,NC_006557
NC_006565 ,Lactobacillus plantarum bacteriophage LP65,Lactobacillus,Firmicutes,Myoviridae,Bacteria,NC_006565
NC_006882 ,Prochlorococcus phage P-SSP7,Prochlorococcus,Cyanobacteria,Podoviridae,Bacteria,NC_006882
NC_006883 ,Prochlorococcus phage P-SSM2.,Prochlorococcus,Cyanobacteria,Myoviridae,Bacteria,NC_006883
NC_006884 ,Prochlorococcus phage P-SSM4.,Prochlorococcus,Cyanobacteria,Myoviridae,Bacteria,NC_006884
NC_006936 ,Lactobacillus plantarum bacteriophage phiJL-1,Lactobacillus,Firmicutes,Siphoviridae,Bacteria,NC_006936
NC_006938 ,Bacteriophage phi JL001,--,AlfaProteo,Siphoviridae,Bacteria,NC_006938
NC_006940 ,Salmonella phage SS3e,Salmonella,GammaProteo,Siphoviridae,Bacteria,NC_006940
NC_006945 ,GIL16c,Bacillus,Firmicutes,Tectiviridae,Bacteria,NC_006945
NC_006949 ,Salmonella typhimurium bacteriophage ES18,Salmonella,GammaProteo,Siphoviridae,Bacteria,NC_006949
NC_006953 ,Listonella pelagia phage phiHSIC,Listonella,GammaProteo,Siphoviridae,Bacteria,NC_006953
NC_006954 ,Coliphage ID11,Escherichia,GammaProteo,Microviridae,Bacteria,NC_006954
NC_007019 ,Streptococcus thermophilus bacteriophage 2972,Streptococcus,Firmicutes,Siphoviridae,Bacteria,NC_007019
NC_007021 ,Twort,Staphylococcus,Firmicutes,Myoviridae,Bacteria,NC_007021
NC_007022 ,31,Aeromonas,GammaProteo,Myoviridae,Bacteria,NC_007022
NC_007024 ,Xanthomonas campestris pv. pelargonii phage Xp15,Xanthomonas,GammaProteo,Caudovirales,Bacteria,NC_007024
NC_007045 ,Bacteriophage PT1028,Staphylococcus,Firmicutes,Unclassified DS,Bacteria,NC_007045
NC_007046 ,Bacteriophage 66,Staphylococcus,Firmicutes,Podoviridae,Bacteria,NC_007046
NC_007047 , Staphylococcus phage 187,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007047
NC_007048 ,Bacteriophage 69,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007048
NC_007049 ,Bacteriophage 53,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007049
NC_007050 ,Bacteriophage 85,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007050
NC_007051 ,Bacteriophage 2638A,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007051
NC_007052 ,Bacteriophage 42e,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007052
NC_007053 , Staphylococcus phage 3A,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007053
NC_007054 ,Bacteriophage 47,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007054
